id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
30950,"Apartment Providencia, Santiago",132845,Pamela,,Providencia,-33.43174,-70.61845,Entire home/apt,260000,180,12,2021-02-22,0.54,1,216,6,
49392,Share my Flat in Providencia,224592,Maria,,Providencia,-33.43266,-70.60072,Private room,43058,3,0,,,2,178,0,
52811,Suite Providencia 1 Santiago Chile,244792,Cristián,,Providencia,-33.42959,-70.6188,Entire home/apt,43870,1,45,2019-04-22,0.43,3,2,0,
53494,depto centro ski el colorado chile,249097,Paulina,,Lo Barnechea,-33.34344,-70.29432,Entire home/apt,149999,2,38,2017-06-10,0.59,1,365,1,
55303,Plaza Lyon piso 3,261079,Hernan,,Providencia,-33.4225,-70.6092,Entire home/apt,70000,2,2,2016-11-28,0.03,3,365,0,
65058,Dpto amoblado centro historico,318016,Patricio,,Recoleta,-33.43049,-70.64135,Private room,48745,2,0,,,1,365,0,
69050,Modern Apt in Heart of Santiago,344461,Ben,,Santiago,-33.44755,-70.65298,Entire home/apt,56869,2,7,2015-11-25,0.07,1,365,0,
73752,Barrio Lastarria,374124,Daniela&Ricardo,,Santiago,-33.43868,-70.64414,Private room,64993,3,0,,,1,365,0,
80482,Room Private for Woman,154527,Jacqueline,,La Florida,-33.51918,-70.59149,Private room,22458,2,0,,,1,363,0,
83677,Loft in Pocuro,456388,Keno,,Providencia,-33.43159,-70.59202,Entire home/apt,117800,1,0,,,1,365,0,
85324,BEAUTIFUL APARTMENT!!! IN DOWNTOWN.,467328,Mirochlava,,Santiago,-33.45417,-70.652,Entire home/apt,48745,1,10,2018-02-20,0.08,2,365,0,
85517,Student House for Santiago de Chile,468375,Housing Horizonte,,Santiago,-33.43851,-70.66642,Private room,10484,30,0,,,3,365,0,
88731,Rent Nice private room and bathroom,484432,Ximena,,Las Condes,-33.4106,-70.57523,Private room,28435,3,39,2017-08-30,0.33,2,365,0,
88944,COZY APT. PROVIDENCIA METRO WIFI TV,485358,Macarena,,Providencia,-33.4222,-70.60846,Entire home/apt,23674,3,159,2019-10-05,1.39,1,272,0,
89101,Hospedaje por noche en Ñuñoa,485821,Flavio E,,Ñuñoa,-33.46315,-70.62546,Private room,58494,1,0,,,2,365,0,
90629,Hermoso departamento individual,491051,Marcy-Lú,,Santiago,-33.43787,-70.64082,Entire home/apt,81241,3,0,,,1,365,0,
90694,Apartment x Rent in Providencia 802,491253,Hector,,Providencia,-33.4259,-70.61692,Entire home/apt,36000,3,58,2019-07-20,0.50,4,356,2,
90769,New & Warm Apartment in Providencia,491253,Hector,,Providencia,-33.42864,-70.62178,Entire home/apt,36000,3,12,2013-03-08,0.10,4,324,0,
94147,"Great house in Santiago, Las Condes",493996,Abraham,,Las Condes,-33.39929,-70.54542,Private room,39518,1,2,2011-12-07,0.02,1,365,0,
95139,Room Family Home,506998,Rafael,,Santiago,-33.43665,-70.67835,Private room,57261,7,0,,,1,365,0,
96722,Private bathroom room in Las Condes,513040,Elby,,Las Condes,-33.42532,-70.58566,Private room,48745,1,0,,,1,365,0,
98989,Rent Furnished Apartment,521687,Priscila,,Santiago,-33.44857,-70.63874,Entire home/apt,227476,1,0,,,1,365,0,
100057,DEPARTAMENTO CENTRO DE SANTIAGO,526328,Fernando,,Santiago,-33.43199,-70.65789,Private room,64519,14,2,2012-02-13,0.02,1,365,0,
100697,departamentos para turistas,528781,Lilian,,Las Condes,-33.42645,-70.56638,Private room,52422,3,0,,,5,365,0,
100698,departamentos para turistas,528781,Lilian,,Las Condes,-33.42522,-70.5656,Private room,52422,3,0,,,5,365,0,
104381,Rooms For Rent,468375,Housing Horizonte,,Santiago,-33.43931,-70.66761,Private room,13710,3,0,,,3,88,0,
105157,Private and Great room in Beautiful Central House!,546385,Alegna,,Ñuñoa,-33.45086,-70.61936,Private room,38996,1,1,2016-02-04,0.01,2,365,0,
106795,departamento santiago centro,552381,Nora,,Santiago,-33.43974,-70.65493,Entire home/apt,64993,1,0,,,1,365,0,
116494,DEPARTAMENTO SANTIAGO CHILE,588476,Antonio,,Santiago,-33.43855,-70.64486,Private room,48745,1,0,,,1,365,0,
119688,Nice & quiet place in Providencia,603746,Marco,,Providencia,-33.43022,-70.60677,Private room,36559,1,0,,,1,365,0,
119949,Habitacion para extranjeros,604630,Miry,,Santiago,-33.44728,-70.66767,Private room,13205,1,0,,,1,365,0,
122128,habitacion  single de Juan,612580,Juan,,Providencia,-33.43871,-70.60424,Private room,60931,1,0,,,1,365,0,
122810,Beautiful furnished apartment,614958,Victor,,Recoleta,-33.42361,-70.63984,Entire home/apt,24372,2,8,2018-02-05,0.15,1,25,0,
123569,Habitación Single,617378,Carolina,,Santiago,-33.44972,-70.64641,Private room,44683,1,0,,,1,365,0,
124075,Habitación Doble baño compartido,619256,Rodrigo,,Providencia,-33.41905,-70.61165,Private room,32497,2,1,2012-01-19,0.01,6,364,0,
124291,habitacion con baño privado,619919,Livia,,Las Condes,-33.42015,-70.55652,Private room,48390,5,0,,,1,365,0,
131054,habitación para 1,645012,Norman,,Santiago,-33.44356,-70.63505,Private room,32497,1,0,,,1,365,0,
132624,departamento  centrico lado Subway,651711,Administrador,,Santiago,-33.43385,-70.65641,Private room,81222,1,0,,,1,365,0,
133295,Lux Las Condes Furnished Apartments,13553614,Felipe,,Las Condes,-33.41121,-70.58845,Entire home/apt,129039,7,82,2017-11-24,0.71,2,365,1,
133783,Beautiful room in Providencia,656696,María Victoria,,Providencia,-33.42974,-70.60432,Private room,40621,1,0,,,1,365,0,
135927,New Cozy Apartment in Providencia,491253,Hector,,Providencia,-33.42884,-70.62196,Entire home/apt,56952,2,39,2018-11-22,0.35,4,0,0,
